IndexNum,Week,VisitorName,HomeTeam,GameDate,GameTime,DisplayValue,InPool,PointSpread,GameId,VS,Station,Mobile
79,1,Utah State,Alabama,09/03/22,07:30:00 PM,,No,,,,,,
80,1,Memphis,Mississippi State,09/03/22,07:30:00 PM,,No,,,,,,
81,1,Georgia State,South Carolina,09/03/22,07:30:00 PM,,No,,,,,,
82,1,Notre Dame,Ohio State,09/03/22,07:30:00 PM,,No,,,,,,
83,1,SMU,North Texas,09/03/22,07:30:00 PM,,No,,,,,,
84,1,Colgate,Stanford,09/03/22,08:00:00 PM,,No,,,,,,
85,1,Murray State,Texas Tech,09/03/22,08:00:00 PM,,No,,,,,,
86,1,UL Monroe,Texas,09/03/22,08:00:00 PM,,No,,,,,,
87,1,Louisville,Syracuse,09/03/22,08:00:00 PM,,No,,,,,,
88,1,Maine,New Mexico,09/03/22,08:00:00 PM,,No,,,,,,
89,1,Idaho,Washington State,09/03/22,09:30:00 PM,,No,,,,,,
90,1,Boise State,Oregon State,09/03/22,10:30:00 PM,,No,,,,,,
91,1,Kent State,Washington,09/03/22,10:30:00 PM,,No,,,,,,
92,1,Western Kentucky,Hawai'i,09/03/22,11:59:00 PM,,No,,,,,,
93,1,Florida State,LSU,09/04/22,07:30:00 PM,,No,,,,,,
94,1,Clemson,Georgia Tech,09/05/22,08:00:00 PM,,No,,,,,,
95,2,Louisville,UCF,09/09/22,07:30:00 PM,,No,,,,,,
96,2,Boise State,New Mexico,09/09/22,09:00:00 PM,,No,,,,,,
97,2,Idaho State,San Diego State,09/10/22,,,No,,,,,,
98,2,Alabama,Texas,09/10/22,12:00:00 PM,,No,,,,,,
99,2,South Carolina,Arkansas,09/10/22,12:00:00 PM,,No,,,,,,
100,2,Missouri,Kansas State,09/10/22,12:00:00 PM,,No,,,,,,
101,2,Wake Forest,Vanderbilt,09/10/22,12:00:00 PM,,No,,,,,,
102,2,Western Illinois,Minnesota,09/10/22,12:00:00 PM,,No,,,,,,
103,2,Duke,Northwestern,09/10/22,12:00:00 PM,,No,,,,,,
104,2,Arkansas State,Ohio State,09/10/22,12:00:00 PM,,No,,,,,,
105,2,Ohio,Penn State,09/10/22,12:00:00 PM,,No,,,,,,
106,2,North Carolina,Georgia State,09/10/22,12:00:00 PM,,No,,,,,,
107,2,Southern Miss,Miami,09/10/22,12:00:00 PM,,No,,,,,,
108,2,UTSA,Army,09/10/22,12:00:00 PM,,No,,,,,,
109,2,Charleston Southern,NC State,09/10/22,12:30:00 PM,,No,,,,,,
110,2,South Alabama,Central Michigan,09/10/22,01:00:00 PM,,No,,,,,,
111,2,Southern Utah,Utah,09/10/22,01:30:00 PM,,No,,,,,,
112,2,Lafayette,Temple,09/10/22,02:00:00 PM,,No,,,,,,
113,2,Western Michigan,Ball State,09/10/22,02:00:00 PM,,No,,,,,,
114,2,Marshall,Notre Dame,09/10/22,02:30:00 PM,,No,,,,,,
115,2,Tennessee,Pittsburgh,09/10/22,03:30:00 PM,,No,,,,,,
116,2,Appalachian State,Texas A&M,09/10/22,03:30:00 PM,,No,,,,,,
117,2,Colorado,Air Force,09/10/22,03:30:00 PM,,No,,,,,,
118,2,Washington State,Wisconsin,09/10/22,03:30:00 PM,,No,,,,,,
119,2,Furman,Clemson,09/10/22,03:30:00 PM,,No,,,,,,
120,2,Memphis,Navy,09/10/22,03:30:00 PM,,No,,,,,,
121,2,Kennesaw State,Cincinnati,09/10/22,03:30:00 PM,,No,,,,,,
122,2,Maryland,Charlotte,09/10/22,03:30:00 PM,,No,,,,,,
123,2,Samford,Georgia,09/10/22,04:00:00 PM,,No,,,,,,
124,2,UNLV,California,09/10/22,04:00:00 PM,,No,,,,,,
125,2,Portland State,Washington,09/10/22,04:00:00 PM,,No,,,,,,
126,2,Houston,Texas Tech,09/10/22,04:00:00 PM,,No,,,,,,
127,2,Iowa State,Iowa,09/10/22,04:00:00 PM,,No,,,,,,
128,2,Virginia,Illinois,09/10/22,04:00:00 PM,,No,,,,,,
129,2,Indiana State,Purdue,09/10/22,04:00:00 PM,,No,,,,,,
130,2,Akron,Michigan State,09/10/22,04:00:00 PM,,No,,,,,,
131,2,Wagner,Rutgers,09/10/22,04:00:00 PM,,No,,,,,,
132,2,Northern Colorado,Wyoming,09/10/22,04:00:00 PM,,No,,,,,,
133,2,Eastern Kentucky,Bowling Green,09/10/22,04:00:00 PM,,No,,,,,,
134,2,Norfolk State,James Madison,09/10/22,04:00:00 PM,,No,,,,,,
135,2,Middle Tennessee,Colorado State,09/10/22,04:00:00 PM,,No,,,,,,
136,2,Alabama State,UCLA,09/10/22,05:00:00 PM,,No,,,,,,
137,2,Incarnate Word,Nevada,09/10/22,05:30:00 PM,,No,,,,,,
138,2,Kansas,West Virginia,09/10/22,06:00:00 PM,,No,,,,,,
139,2,Old Dominion,East Carolina,09/10/22,06:00:00 PM,,No,,,,,,
